"_time",EventCode,"Authentication_Package",Type,"Account_Name","Account_Domain","Logon_Type","Logon_Process","Key_Length","New_Logon_Security_ID","Subject_Security_ID"
"2016-03-02T04:52:34.000+0000",4624,NTLM,Information,"fnf_lknmd_qo_jnkmcac",SUBSIDIARY1,3,NtLmSsp,128,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID"
"2016-03-02T04:53:56.000+0000",4624,NTLM,Information,"nimln_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\nimln_jnkmcac","NULL SID"
"2016-03-02T04:55:04.000+0000",4624,NTLM,Information,"bfibpk_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\bfibpk_jnkmcac","NULL SID"
"2016-03-02T04:55:39.000+0000",4624,NTLM,Information,"khakjbdel_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\khakjbdel_jnkmcac","NULL SID"
"2016-03-02T04:59:11.000+0000",4624,NTLM,Information,"nphkfhm_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\nphkfhm_jnkmcac","NULL SID"
"2016-03-02T05:00:15.000+0000",4624,NTLM,Information,"knmaq_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\knmaq_jnkmcac","NULL SID"
"2016-03-02T05:00:35.000+0000",4624,NTLM,Information,"ocheimi_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\ocheimi_jnkmcac","NULL SID"
"2016-03-02T05:02:12.000+0000",4624,NTLM,Information,"ofkecmkc_jnkmcac",SUBSIDIARY1,3,NtLmSsp,128,"SUBSIDIARY1\ofkecmkc_jnkmcac","NULL SID"
"2016-03-02T05:03:11.000+0000",4624,NTLM,Information,"domqell_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\domqell_jnkmcac","NULL SID"
"2016-03-02T05:10:48.000+0000",4624,NTLM,Information,"fnf_lknmd_qo_jnkmcac",SUBSIDIARY1,3,NtLmSsp,128,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID"
"2016-03-02T05:14:16.000+0000",4624,NTLM,Information,"hohpdfhjqeno_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\hohpdfhjqeno_jnkmcac","NULL SID"
"2016-03-02T05:18:18.000+0000",4624,NTLM,Information,"knmaq_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\knmaq_jnkmcac","NULL SID"
"2016-03-02T05:19:14.000+0000",4624,NTLM,Information,"ekojhad_jnkmcac",SUBSIDIARY1,3,NtLmSsp,0,"SUBSIDIARY1\ekojhad_jnkmcac","NULL SID"
