"_time",User,"Page_Count","anonymized_Printer"
"2016-08-15T10:37:27.000-0700",chuck,1,"anon_Printer_9"
"2016-08-15T10:44:19.000-0700",chuck,1,"anon_Printer_9"
"2016-08-15T11:04:33.000-0700",alice,8,"anon_Printer_9"
"2016-08-15T11:04:33.000-0700",alice,8,"anon_Printer_9"
"2016-08-15T15:10:42.000-0700",chuck,6,"anon_Printer_9"
"2016-08-15T15:42:24.000-0700",chuck,2,"anon_Printer_9"
"2016-08-15T15:44:57.000-0700",chuck,2,"anon_Printer_9"
"2016-08-16T10:47:24.000-0700",chuck,1,"anon_Printer_9"
"2016-08-16T10:47:33.000-0700",chuck,1,"anon_Printer_9"
"2016-08-18T11:47:38.000-0700",chuck,1,"anon_Printer_9"
"2016-08-18T13:32:36.000-0700",alice,1,"anon_Printer_9"
"2016-08-18T13:32:55.000-0700",alice,4,"anon_Printer_9"
"2016-08-18T13:32:55.000-0700",alice,4,"anon_Printer_9"
"2016-08-18T13:39:54.000-0700",alice,2,"anon_Printer_9"
"2016-08-18T13:39:54.000-0700",alice,2,"anon_Printer_9"
"2016-08-18T16:24:17.000-0700",chuck,4,"anon_Printer_9"
"2016-08-18T16:24:27.000-0700",chuck,4,"anon_Printer_9"
"2016-08-18T16:34:02.000-0700",alice,2,"anon_Printer_9"
"2016-08-18T16:34:02.000-0700",alice,2,"anon_Printer_9"
"2016-08-18T16:37:05.000-0700",alice,2,"anon_Printer_9"
"2016-08-18T16:37:05.000-0700",alice,2,"anon_Printer_9"
"2016-08-18T16:38:24.000-0700",alice,1,"anon_Printer_9"
"2016-08-18T16:44:33.000-0700",alice,1,"anon_Printer_9"
"2016-08-19T12:50:29.000-0700",alice,1,"anon_Printer_9"
"2016-08-19T13:22:42.000-0700",chuck,15,"anon_Printer_9"
"2016-08-19T13:36:35.000-0700",alice,5,"anon_Printer_9"
"2016-08-19T13:36:35.000-0700",alice,4,"anon_Printer_9"
"2016-08-19T13:43:56.000-0700",alice,8,"anon_Printer_9"
"2016-08-19T13:43:56.000-0700",alice,8,"anon_Printer_9"
"2016-08-19T13:55:21.000-0700",chuck,4,"anon_Printer_9"
"2016-08-22T11:18:04.000-0700",alice,2,"anon_Printer_9"
"2016-08-22T11:18:04.000-0700",alice,2,"anon_Printer_9"
"2016-08-22T11:19:31.000-0700",alice,16,"anon_Printer_9"
"2016-08-22T11:19:31.000-0700",alice,16,"anon_Printer_9"
"2016-08-22T11:21:29.000-0700",alice,6,"anon_Printer_9"
"2016-08-22T11:21:29.000-0700",alice,7,"anon_Printer_9"
"2016-08-22T11:25:33.000-0700",alice,1,"anon_Printer_9"
"2016-08-22T11:35:56.000-0700",chuck,1,"anon_Printer_9"
"2016-08-22T11:49:51.000-0700",alice,1,"anon_Printer_9"
"2016-08-22T11:50:21.000-0700",alice,2,"anon_Printer_9"
"2016-08-22T11:50:21.000-0700",alice,3,"anon_Printer_9"
"2016-08-22T13:45:12.000-0700",chuck,21,"anon_Printer_9"
"2016-08-22T13:45:23.000-0700",chuck,21,"anon_Printer_9"
"2016-08-22T14:29:57.000-0700",chuck,6,"anon_Printer_9"
"2016-08-22T15:33:52.000-0700",alice,17,"anon_Printer_9"
"2016-08-22T15:33:52.000-0700",alice,16,"anon_Printer_9"
"2016-08-22T15:37:05.000-0700",alice,2,"anon_Printer_9"
"2016-08-22T15:37:05.000-0700",alice,2,"anon_Printer_9"
"2016-08-22T16:03:20.000-0700",alice,2,"anon_Printer_9"
"2016-08-22T16:03:20.000-0700",alice,2,"anon_Printer_9"
"2016-08-23T14:15:10.000-0700",alice,16,"anon_Printer_9"
"2016-08-23T14:15:10.000-0700",alice,16,"anon_Printer_9"
"2016-08-23T14:18:00.000-0700",alice,1,"anon_Printer_9"
"2016-08-23T14:18:42.000-0700",alice,2,"anon_Printer_9"
"2016-08-23T14:18:42.000-0700",alice,2,"anon_Printer_9"
"2016-08-23T14:23:32.000-0700",alice,2,"anon_Printer_9"
"2016-08-23T14:23:32.000-0700",alice,2,"anon_Printer_9"
"2016-08-23T14:26:25.000-0700",chuck,2,"anon_Printer_9"
"2016-08-24T11:47:41.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T11:47:51.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T11:48:02.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T11:48:16.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T11:48:28.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T11:48:38.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T12:11:34.000-0700",alice,4,"anon_Printer_9"
"2016-08-24T12:11:34.000-0700",alice,4,"anon_Printer_9"
"2016-08-24T12:13:34.000-0700",alice,4,"anon_Printer_9"
"2016-08-24T12:13:34.000-0700",alice,4,"anon_Printer_9"
"2016-08-24T12:15:52.000-0700",alice,4,"anon_Printer_9"
"2016-08-24T12:15:52.000-0700",alice,4,"anon_Printer_9"
"2016-08-24T12:16:42.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T12:16:58.000-0700",alice,1,"anon_Printer_9"
"2016-08-24T12:17:08.000-0700",alice,2,"anon_Printer_9"
"2016-08-24T12:17:08.000-0700",alice,3,"anon_Printer_9"
